Name,Birthday,Height,Weight,Season,Team Name,Team Short Name,Preferred Foot,Appearances in Starting XI,Goals,Nationality,Transfer Value,Wage,PlayerPhoto,ClubLogo
Jay Rodriguez, 29 July 1989,185 cm,154 lbs,2013/2014,Southampton,SOU,Right,30,15,England,€8M,€68K,https://cdn.sofifa.org/1x/18/players/169792.png,https://cdn.sofifa.org/1x/18/teams/17.png
Jay Rodriguez, 29 July 1989,185 cm,154 lbs,2015/2016,Southampton,SOU,Right,3,0,England,€8M,€68K,https://cdn.sofifa.org/1x/18/players/169792.png,https://cdn.sofifa.org/1x/18/teams/17.png
Jed Steer, 23 September 1992,182 cm,176 lbs,2014/2015,Aston Villa,AVL,Left,1,0,England,€550K,€6K,https://cdn.sofifa.org/1x/18/players/192317.png,https://cdn.sofifa.org/1x/18/teams/2.png
Jermain Defoe, 7 October 1982,170 cm,154 lbs,2014/2015,Sunderland,SUN,Right,17,4,England,€8M,€87K,https://cdn.sofifa.org/1x/18/players/50542.png,https://cdn.sofifa.org/1x/18/teams/106.png
Jermain Defoe, 7 October 1982,170 cm,154 lbs,2015/2016,Sunderland,SUN,Right,28,15,England,€8M,€87K,https://cdn.sofifa.org/1x/18/players/50542.png,https://cdn.sofifa.org/1x/18/teams/106.png
Jermain Defoe, 7 October 1982,170 cm,154 lbs,2011/2012,Tottenham Hotspur,TOT,Right,11,11,England,€8M,€87K,https://cdn.sofifa.org/1x/18/players/50542.png,https://cdn.sofifa.org/1x/18/teams/18.png
Jermain Defoe, 7 October 1982,170 cm,154 lbs,2012/2013,Tottenham Hotspur,TOT,Right,27,11,England,€8M,€87K,https://cdn.sofifa.org/1x/18/players/50542.png,https://cdn.sofifa.org/1x/18/teams/18.png
Jermain Defoe, 7 October 1982,170 cm,154 lbs,2013/2014,Tottenham Hotspur,TOT,Right,3,1,England,€8M,€87K,https://cdn.sofifa.org/1x/18/players/50542.png,https://cdn.sofifa.org/1x/18/teams/18.png
Jerome Thomas, 23 March 1983,177 cm,161 lbs,2011/2012,West Bromwich Albion,WBA,Right,26,1,England,€575K,€3K,https://cdn.sofifa.org/1x/18/players/215950.png,https://cdn.sofifa.org/1x/18/teams/109.png
Jerome Thomas, 23 March 1983,177 cm,161 lbs,2012/2013,West Bromwich Albion,WBA,Right,4,0,England,€575K,€3K,https://cdn.sofifa.org/1x/18/players/215950.png,https://cdn.sofifa.org/1x/18/teams/109.png
Jerome Thomas, 23 March 1983,177 cm,161 lbs,2013/2014,Crystal Palace,CRY,Right,3,0,England,€575K,€3K,https://cdn.sofifa.org/1x/18/players/215950.png,https://cdn.sofifa.org/1x/18/teams/1799.png
Jesse Lingard, 15 December 1992,175 cm,143 lbs,2014/2015,Manchester United,MUN,Right,1,0,England,€13M,€95K,https://cdn.sofifa.org/1x/18/players/207494.png,https://cdn.sofifa.org/1x/18/teams/11.png
Jesse Lingard, 15 December 1992,175 cm,143 lbs,2015/2016,Manchester United,MUN,Right,19,4,England,€13M,€95K,https://cdn.sofifa.org/1x/18/players/207494.png,https://cdn.sofifa.org/1x/18/teams/11.png
Joe Allen, 14 March 1990,167 cm,137 lbs,2012/2013,Liverpool,LIV,Right,21,0,England,€725K,€3K,https://cdn.sofifa.org/1x/18/players/213147.png,https://cdn.sofifa.org/1x/18/teams/9.png
Joe Allen, 14 March 1990,167 cm,137 lbs,2013/2014,Liverpool,LIV,Right,15,1,England,€725K,€3K,https://cdn.sofifa.org/1x/18/players/213147.png,https://cdn.sofifa.org/1x/18/teams/9.png
Joe Allen, 14 March 1990,167 cm,137 lbs,2014/2015,Liverpool,LIV,Right,16,1,England,€725K,€3K,https://cdn.sofifa.org/1x/18/players/213147.png,https://cdn.sofifa.org/1x/18/teams/9.png
Joe Allen, 14 March 1990,167 cm,137 lbs,2015/2016,Liverpool,LIV,Right,8,2,England,€725K,€3K,https://cdn.sofifa.org/1x/18/players/213147.png,https://cdn.sofifa.org/1x/18/teams/9.png
Joe Allen, 14 March 1990,167 cm,137 lbs,2011/2012,Swansea City,SWA,Right,31,4,England,€725K,€3K,https://cdn.sofifa.org/1x/18/players/213147.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Joe Hart, 19 April 1987,195 cm,201 lbs,2011/2012,Manchester City,MCI,Right,38,0,England,€14M,€110K,https://cdn.sofifa.org/1x/18/players/150724.png,https://cdn.sofifa.org/1x/18/teams/10.png
Joe Hart, 19 April 1987,195 cm,201 lbs,2012/2013,Manchester City,MCI,Right,38,0,England,€14M,€110K,https://cdn.sofifa.org/1x/18/players/150724.png,https://cdn.sofifa.org/1x/18/teams/10.png
Joe Hart, 19 April 1987,195 cm,201 lbs,2013/2014,Manchester City,MCI,Right,31,0,England,€14M,€110K,https://cdn.sofifa.org/1x/18/players/150724.png,https://cdn.sofifa.org/1x/18/teams/10.png
Joe Hart, 19 April 1987,195 cm,201 lbs,2014/2015,Manchester City,MCI,Right,36,0,England,€14M,€110K,https://cdn.sofifa.org/1x/18/players/150724.png,https://cdn.sofifa.org/1x/18/teams/10.png
Joe Hart, 19 April 1987,195 cm,201 lbs,2015/2016,Manchester City,MCI,Right,35,0,England,€14M,€110K,https://cdn.sofifa.org/1x/18/players/150724.png,https://cdn.sofifa.org/1x/18/teams/10.png
Joe Lewis, 6 October 1987,198 cm,187 lbs,2013/2014,Cardiff City,CAR,Right,1,0,England,€2.1M,€5K,https://cdn.sofifa.org/1x/18/players/156253.png,https://cdn.sofifa.org/1x/18/teams/1961.png
Joe Riley, 13 October 1991,182 cm,157 lbs,2011/2012,Bolton Wanderers,BOL,Right,2,0,England,€1M,€18K,https://cdn.sofifa.org/1x/18/players/233114.png,https://cdn.sofifa.org/1x/18/teams/4.png
Joel Ward, 29 October 1989,187 cm,183 lbs,2013/2014,Crystal Palace,CRY,Right,36,0,England,€5M,€44K,https://cdn.sofifa.org/1x/18/players/186392.png,https://cdn.sofifa.org/1x/18/teams/1799.png
Joel Ward, 29 October 1989,187 cm,183 lbs,2014/2015,Crystal Palace,CRY,Right,37,1,England,€5M,€44K,https://cdn.sofifa.org/1x/18/players/186392.png,https://cdn.sofifa.org/1x/18/teams/1799.png
Joel Ward, 29 October 1989,187 cm,183 lbs,2015/2016,Crystal Palace,CRY,Right,30,2,England,€5M,€44K,https://cdn.sofifa.org/1x/18/players/186392.png,https://cdn.sofifa.org/1x/18/teams/1799.png
John Ruddy, 24 October 1986,193 cm,212 lbs,2011/2012,Norwich City,NOR,Right,37,0,England,€2M,€25K,https://cdn.sofifa.org/1x/18/players/163600.png,https://cdn.sofifa.org/1x/18/teams/1792.png
John Ruddy, 24 October 1986,193 cm,212 lbs,2012/2013,Norwich City,NOR,Right,15,0,England,€2M,€25K,https://cdn.sofifa.org/1x/18/players/163600.png,https://cdn.sofifa.org/1x/18/teams/1792.png
John Ruddy, 24 October 1986,193 cm,212 lbs,2013/2014,Norwich City,NOR,Right,38,0,England,€2M,€25K,https://cdn.sofifa.org/1x/18/players/163600.png,https://cdn.sofifa.org/1x/18/teams/1792.png
John Ruddy, 24 October 1986,193 cm,212 lbs,2015/2016,Norwich City,NOR,Right,27,0,England,€2M,€25K,https://cdn.sofifa.org/1x/18/players/163600.png,https://cdn.sofifa.org/1x/18/teams/1792.png
John Stones, 28 May 1994,187 cm,165 lbs,2013/2014,Everton,EVE,Right,15,0,England,€14.5M,€105K,https://cdn.sofifa.org/1x/18/players/203574.png,https://cdn.sofifa.org/1x/18/teams/7.png
John Stones, 28 May 1994,187 cm,165 lbs,2014/2015,Everton,EVE,Right,23,1,England,€14.5M,€105K,https://cdn.sofifa.org/1x/18/players/203574.png,https://cdn.sofifa.org/1x/18/teams/7.png
John Stones, 28 May 1994,187 cm,165 lbs,2015/2016,Everton,EVE,Right,31,0,England,€14.5M,€105K,https://cdn.sofifa.org/1x/18/players/203574.png,https://cdn.sofifa.org/1x/18/teams/7.png
John Terry, 7 December 1980,187 cm,198 lbs,2011/2012,Chelsea,CHE,Right,31,6,England,€1.4M,€27K,https://cdn.sofifa.org/1x/18/players/13732.png,https://cdn.sofifa.org/1x/18/teams/5.png
John Terry, 7 December 1980,187 cm,198 lbs,2012/2013,Chelsea,CHE,Right,11,4,England,€1.4M,€27K,https://cdn.sofifa.org/1x/18/players/13732.png,https://cdn.sofifa.org/1x/18/teams/5.png
John Terry, 7 December 1980,187 cm,198 lbs,2013/2014,Chelsea,CHE,Right,34,2,England,€1.4M,€27K,https://cdn.sofifa.org/1x/18/players/13732.png,https://cdn.sofifa.org/1x/18/teams/5.png
John Terry, 7 December 1980,187 cm,198 lbs,2014/2015,Chelsea,CHE,Right,38,5,England,€1.4M,€27K,https://cdn.sofifa.org/1x/18/players/13732.png,https://cdn.sofifa.org/1x/18/teams/5.png
John Terry, 7 December 1980,187 cm,198 lbs,2015/2016,Chelsea,CHE,Right,24,1,England,€1.4M,€27K,https://cdn.sofifa.org/1x/18/players/13732.png,https://cdn.sofifa.org/1x/18/teams/5.png
Jon Flanagan, 1 January 1993,180 cm,152 lbs,2011/2012,Liverpool,LIV,Right,5,0,England,€2M,€45K,https://cdn.sofifa.org/1x/18/players/201999.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jon Flanagan, 1 January 1993,180 cm,152 lbs,2013/2014,Liverpool,LIV,Right,23,1,England,€2M,€45K,https://cdn.sofifa.org/1x/18/players/201999.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jon Flanagan, 1 January 1993,180 cm,152 lbs,2015/2016,Liverpool,LIV,Right,5,0,England,€2M,€45K,https://cdn.sofifa.org/1x/18/players/201999.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jonathan Howson, 21 May 1988,180 cm,170 lbs,2011/2012,Norwich City,NOR,Right,11,0,England,€3.8M,€19K,https://cdn.sofifa.org/1x/18/players/183422.png,https://cdn.sofifa.org/1x/18/teams/1792.png
Jonathan Howson, 21 May 1988,180 cm,170 lbs,2012/2013,Norwich City,NOR,Right,22,0,England,€3.8M,€19K,https://cdn.sofifa.org/1x/18/players/183422.png,https://cdn.sofifa.org/1x/18/teams/1792.png
Jonathan Howson, 21 May 1988,180 cm,170 lbs,2013/2014,Norwich City,NOR,Right,23,0,England,€3.8M,€19K,https://cdn.sofifa.org/1x/18/players/183422.png,https://cdn.sofifa.org/1x/18/teams/1792.png
Jonathan Howson, 21 May 1988,180 cm,170 lbs,2015/2016,Norwich City,NOR,Right,33,0,England,€3.8M,€19K,https://cdn.sofifa.org/1x/18/players/183422.png,https://cdn.sofifa.org/1x/18/teams/1792.png
Jonathan Leko, 24 April 1999,182 cm,141 lbs,2015/2016,West Bromwich Albion,WBA,Right,3,0,England,€925K,€11K,https://cdn.sofifa.org/1x/18/players/231408.png,https://cdn.sofifa.org/1x/18/teams/109.png
Jonjo Shelvey, 27 February 1992,182 cm,183 lbs,2011/2012,Liverpool,LIV,Right,8,1,England,€11.5M,€66K,https://cdn.sofifa.org/1x/18/players/189165.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jonjo Shelvey, 27 February 1992,182 cm,183 lbs,2012/2013,Liverpool,LIV,Right,9,0,England,€11.5M,€66K,https://cdn.sofifa.org/1x/18/players/189165.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jonjo Shelvey, 27 February 1992,182 cm,183 lbs,2013/2014,Swansea City,SWA,Right,29,6,England,€11.5M,€66K,https://cdn.sofifa.org/1x/18/players/189165.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Jonjo Shelvey, 27 February 1992,182 cm,183 lbs,2014/2015,Swansea City,SWA,Right,28,3,England,€11.5M,€66K,https://cdn.sofifa.org/1x/18/players/189165.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Jonjo Shelvey, 27 February 1992,182 cm,183 lbs,2015/2016,Swansea City,SWA,Right,14,1,England,€11.5M,€66K,https://cdn.sofifa.org/1x/18/players/189165.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Jonjo Shelvey, 27 February 1992,182 cm,183 lbs,2015/2016,Newcastle United,NEW,Right,11,1,England,€11.5M,€66K,https://cdn.sofifa.org/1x/18/players/189165.png,https://cdn.sofifa.org/1x/18/teams/13.png
Jordan Bowery, 2 July 1991,187 cm,168 lbs,2012/2013,Aston Villa,AVL,Right,3,0,England,€550K,€6K,https://cdn.sofifa.org/1x/18/players/190239.png,https://cdn.sofifa.org/1x/18/teams/2.png
Jordan Bowery, 2 July 1991,187 cm,168 lbs,2013/2014,Aston Villa,AVL,Right,2,0,England,€550K,€6K,https://cdn.sofifa.org/1x/18/players/190239.png,https://cdn.sofifa.org/1x/18/teams/2.png
Jordan Henderson, 17 June 1990,182 cm,148 lbs,2011/2012,Liverpool,LIV,Right,31,2,England,€21.5M,€115K,https://cdn.sofifa.org/1x/18/players/183711.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jordan Henderson, 17 June 1990,182 cm,148 lbs,2012/2013,Liverpool,LIV,Right,16,5,England,€21.5M,€115K,https://cdn.sofifa.org/1x/18/players/183711.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jordan Henderson, 17 June 1990,182 cm,148 lbs,2013/2014,Liverpool,LIV,Right,35,4,England,€21.5M,€115K,https://cdn.sofifa.org/1x/18/players/183711.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jordan Henderson, 17 June 1990,182 cm,148 lbs,2014/2015,Liverpool,LIV,Right,36,6,England,€21.5M,€115K,https://cdn.sofifa.org/1x/18/players/183711.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jordan Henderson, 17 June 1990,182 cm,148 lbs,2015/2016,Liverpool,LIV,Right,15,2,England,€21.5M,€115K,https://cdn.sofifa.org/1x/18/players/183711.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jordan Pickford, 7 March 1994,185 cm,170 lbs,2015/2016,Sunderland,SUN,Left,2,0,England,€10M,€59K,https://cdn.sofifa.org/1x/18/players/204935.png,https://cdn.sofifa.org/1x/18/teams/106.png
Jordi Gomez, 24 May 1985,177 cm,163 lbs,2014/2015,Sunderland,SUN,Left,22,4,England,€2.8M,€40K,https://cdn.sofifa.org/1x/18/players/225100.png,https://cdn.sofifa.org/1x/18/teams/106.png
Jordi Gomez, 24 May 1985,177 cm,163 lbs,2015/2016,Sunderland,SUN,Left,5,0,England,€2.8M,€40K,https://cdn.sofifa.org/1x/18/players/225100.png,https://cdn.sofifa.org/1x/18/teams/106.png
Jordi Gomez, 24 May 1985,177 cm,163 lbs,2011/2012,Wigan Athletic,WIG,Left,24,5,England,€2.8M,€40K,https://cdn.sofifa.org/1x/18/players/225100.png,https://cdn.sofifa.org/1x/18/teams/1917.png
Jordi Gomez, 24 May 1985,177 cm,163 lbs,2012/2013,Wigan Athletic,WIG,Left,17,3,England,€2.8M,€40K,https://cdn.sofifa.org/1x/18/players/225100.png,https://cdn.sofifa.org/1x/18/teams/1917.png
Jordon Ibe, 8 December 1995,175 cm,179 lbs,2012/2013,Liverpool,LIV,Right,1,0,England,€3.7M,€31K,https://cdn.sofifa.org/1x/18/players/205540.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jordon Ibe, 8 December 1995,175 cm,179 lbs,2014/2015,Liverpool,LIV,Right,7,0,England,€3.7M,€31K,https://cdn.sofifa.org/1x/18/players/205540.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jordon Ibe, 8 December 1995,175 cm,179 lbs,2015/2016,Liverpool,LIV,Right,12,1,England,€3.7M,€31K,https://cdn.sofifa.org/1x/18/players/205540.png,https://cdn.sofifa.org/1x/18/teams/9.png
Jordon Mutch, 2 December 1991,187 cm,179 lbs,2013/2014,Cardiff City,CAR,Right,26,7,England,€1.2M,€28K,https://cdn.sofifa.org/1x/18/players/186117.png,https://cdn.sofifa.org/1x/18/teams/1961.png
Jordon Mutch, 2 December 1991,187 cm,179 lbs,2014/2015,Crystal Palace,CRY,Right,4,0,England,€1.2M,€28K,https://cdn.sofifa.org/1x/18/players/186117.png,https://cdn.sofifa.org/1x/18/teams/1799.png
Jordon Mutch, 2 December 1991,187 cm,179 lbs,2015/2016,Crystal Palace,CRY,Right,7,0,England,€1.2M,€28K,https://cdn.sofifa.org/1x/18/players/186117.png,https://cdn.sofifa.org/1x/18/teams/1799.png
Jordon Mutch, 2 December 1991,187 cm,179 lbs,2014/2015,Queens Park Rangers,QPR,Right,6,0,England,€1.2M,€28K,https://cdn.sofifa.org/1x/18/players/186117.png,https://cdn.sofifa.org/1x/18/teams/15.png
Joseph Bennett, 28 March 1990,177 cm,163 lbs,2012/2013,Aston Villa,AVL,Left,21,0,England,€120K,€4K,https://cdn.sofifa.org/1x/18/players/240555.png,https://cdn.sofifa.org/1x/18/teams/2.png
Joseph Bennett, 28 March 1990,177 cm,163 lbs,2013/2014,Aston Villa,AVL,Left,3,0,England,€120K,€4K,https://cdn.sofifa.org/1x/18/players/240555.png,https://cdn.sofifa.org/1x/18/teams/2.png
Joseph Gomez, 23 May 1997,185 cm,170 lbs,2015/2016,Liverpool,LIV,Right,5,0,England,€2.8M,€40K,https://cdn.sofifa.org/1x/18/players/225100.png,https://cdn.sofifa.org/1x/18/teams/9.png
Joshua King, 15 January 1992,180 cm,163 lbs,2015/2016,Bournemouth,BOU,Right,24,6,England,€250K,€3K,https://cdn.sofifa.org/1x/18/players/210407.png,https://cdn.sofifa.org/1x/18/teams/1943.png
Joshua McEachran, 1 March 1993,177 cm,143 lbs,2011/2012,Swansea City,SWA,Left,1,0,England,€3.1M,€26K,https://cdn.sofifa.org/1x/18/players/198704.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Junior Stanislas, 26 November 1989,182 cm,168 lbs,2015/2016,Bournemouth,BOU,Right,17,3,England,€4.2M,€56K,https://cdn.sofifa.org/1x/18/players/189446.png,https://cdn.sofifa.org/1x/18/teams/1943.png
Karl Darlow, 8 October 1990,185 cm,174 lbs,2015/2016,Newcastle United,NEW,Right,9,0,England,€1.6M,€30K,https://cdn.sofifa.org/1x/18/players/193331.png,https://cdn.sofifa.org/1x/18/teams/13.png
Kelvin Davis, 29 September 1976,185 cm,181 lbs,2012/2013,Southampton,SOU,Right,9,0,England,€400K,€3K,https://cdn.sofifa.org/1x/18/players/231743.png,https://cdn.sofifa.org/1x/18/teams/17.png
Kelvin Davis, 29 September 1976,185 cm,181 lbs,2013/2014,Southampton,SOU,Right,2,0,England,€400K,€3K,https://cdn.sofifa.org/1x/18/players/231743.png,https://cdn.sofifa.org/1x/18/teams/17.png
Kelvin Davis, 29 September 1976,185 cm,181 lbs,2014/2015,Southampton,SOU,Right,6,0,England,€400K,€3K,https://cdn.sofifa.org/1x/18/players/231743.png,https://cdn.sofifa.org/1x/18/teams/17.png
Kelvin Davis, 29 September 1976,185 cm,181 lbs,2015/2016,Southampton,SOU,Right,1,0,England,€400K,€3K,https://cdn.sofifa.org/1x/18/players/231743.png,https://cdn.sofifa.org/1x/18/teams/17.png
Kevin Nolan, 24 June 1982,182 cm,194 lbs,2012/2013,West Ham United,WHU,Right,35,10,England,€270K,€4K,https://cdn.sofifa.org/1x/18/players/51394.png,https://cdn.sofifa.org/1x/18/teams/19.png
Kevin Nolan, 24 June 1982,182 cm,194 lbs,2013/2014,West Ham United,WHU,Right,33,7,England,€270K,€4K,https://cdn.sofifa.org/1x/18/players/51394.png,https://cdn.sofifa.org/1x/18/teams/19.png
Kevin Nolan, 24 June 1982,182 cm,194 lbs,2014/2015,West Ham United,WHU,Right,19,1,England,€270K,€4K,https://cdn.sofifa.org/1x/18/players/51394.png,https://cdn.sofifa.org/1x/18/teams/19.png
Kevin Nolan, 24 June 1982,182 cm,194 lbs,2015/2016,West Ham United,WHU,Right,1,0,England,€270K,€4K,https://cdn.sofifa.org/1x/18/players/51394.png,https://cdn.sofifa.org/1x/18/teams/19.png
Kevin Stewart, 7 September 1993,182 cm,168 lbs,2015/2016,Liverpool,LIV,Right,6,0,England,€3.6M,€7K,https://cdn.sofifa.org/1x/18/players/206538.png,https://cdn.sofifa.org/1x/18/teams/9.png
Kieran Trippier, 19 September 1990,177 cm,157 lbs,2014/2015,Burnley,BUR,Right,38,0,England,€10M,€76K,https://cdn.sofifa.org/1x/18/players/186345.png,https://cdn.sofifa.org/1x/18/teams/1796.png
Kieran Trippier, 19 September 1990,177 cm,157 lbs,2015/2016,Tottenham Hotspur,TOT,Right,5,1,England,€10M,€76K,https://cdn.sofifa.org/1x/18/players/186345.png,https://cdn.sofifa.org/1x/18/teams/18.png
Kyle Bartley, 22 May 1991,193 cm,207 lbs,2012/2013,Swansea City,SWA,Right,1,0,England,€4M,€52K,https://cdn.sofifa.org/1x/18/players/186158.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Kyle Bartley, 22 May 1991,193 cm,207 lbs,2013/2014,Swansea City,SWA,Right,1,0,England,€4M,€52K,https://cdn.sofifa.org/1x/18/players/186158.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Kyle Bartley, 22 May 1991,193 cm,207 lbs,2014/2015,Swansea City,SWA,Right,7,0,England,€4M,€52K,https://cdn.sofifa.org/1x/18/players/186158.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Kyle Bartley, 22 May 1991,193 cm,207 lbs,2015/2016,Swansea City,SWA,Right,3,0,England,€4M,€52K,https://cdn.sofifa.org/1x/18/players/186158.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Kyle Naughton, 11 November 1988,180 cm,161 lbs,2012/2013,Tottenham Hotspur,TOT,Right,13,0,England,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/186598.png,https://cdn.sofifa.org/1x/18/teams/18.png
Kyle Naughton, 11 November 1988,180 cm,161 lbs,2013/2014,Tottenham Hotspur,TOT,Right,19,0,England,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/186598.png,https://cdn.sofifa.org/1x/18/teams/18.png
Kyle Naughton, 11 November 1988,180 cm,161 lbs,2014/2015,Tottenham Hotspur,TOT,Right,5,0,England,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/186598.png,https://cdn.sofifa.org/1x/18/teams/18.png
Kyle Naughton, 11 November 1988,180 cm,161 lbs,2011/2012,Norwich City,NOR,Right,29,0,England,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/186598.png,https://cdn.sofifa.org/1x/18/teams/1792.png
Kyle Naughton, 11 November 1988,180 cm,161 lbs,2014/2015,Swansea City,SWA,Right,10,0,England,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/186598.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Kyle Naughton, 11 November 1988,180 cm,161 lbs,2015/2016,Swansea City,SWA,Right,19,0,England,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/186598.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Kyle Walker, 28 May 1990,177 cm,154 lbs,2011/2012,Tottenham Hotspur,TOT,Right,37,2,England,€24M,€130K,https://cdn.sofifa.org/1x/18/players/188377.png,https://cdn.sofifa.org/1x/18/teams/18.png
Kyle Walker, 28 May 1990,177 cm,154 lbs,2012/2013,Tottenham Hotspur,TOT,Right,36,0,England,€24M,€130K,https://cdn.sofifa.org/1x/18/players/188377.png,https://cdn.sofifa.org/1x/18/teams/18.png
Kyle Walker, 28 May 1990,177 cm,154 lbs,2013/2014,Tottenham Hotspur,TOT,Right,26,1,England,€24M,€130K,https://cdn.sofifa.org/1x/18/players/188377.png,https://cdn.sofifa.org/1x/18/teams/18.png
Kyle Walker, 28 May 1990,177 cm,154 lbs,2014/2015,Tottenham Hotspur,TOT,Right,15,0,England,€24M,€130K,https://cdn.sofifa.org/1x/18/players/188377.png,https://cdn.sofifa.org/1x/18/teams/18.png
Kyle Walker, 28 May 1990,177 cm,154 lbs,2015/2016,Tottenham Hotspur,TOT,Right,33,1,England,€24M,€130K,https://cdn.sofifa.org/1x/18/players/188377.png,https://cdn.sofifa.org/1x/18/teams/18.png
Lee Cattermole, 21 March 1988,177 cm,168 lbs,2011/2012,Sunderland,SUN,Right,23,0,England,€7M,€13K,https://cdn.sofifa.org/1x/18/players/169607.png,https://cdn.sofifa.org/1x/18/teams/106.png
Lee Cattermole, 21 March 1988,177 cm,168 lbs,2012/2013,Sunderland,SUN,Right,10,0,England,€7M,€13K,https://cdn.sofifa.org/1x/18/players/169607.png,https://cdn.sofifa.org/1x/18/teams/106.png
Lee Cattermole, 21 March 1988,177 cm,168 lbs,2013/2014,Sunderland,SUN,Right,21,1,England,€7M,€13K,https://cdn.sofifa.org/1x/18/players/169607.png,https://cdn.sofifa.org/1x/18/teams/106.png
Lee Cattermole, 21 March 1988,177 cm,168 lbs,2014/2015,Sunderland,SUN,Right,26,1,England,€7M,€13K,https://cdn.sofifa.org/1x/18/players/169607.png,https://cdn.sofifa.org/1x/18/teams/106.png
Lee Cattermole, 21 March 1988,177 cm,168 lbs,2015/2016,Sunderland,SUN,Right,27,0,England,€7M,€13K,https://cdn.sofifa.org/1x/18/players/169607.png,https://cdn.sofifa.org/1x/18/teams/106.png
Lee Tomlin, 12 January 1989,180 cm,163 lbs,2015/2016,Bournemouth,BOU,Right,3,0,England,€3.1M,€21K,https://cdn.sofifa.org/1x/18/players/172904.png,https://cdn.sofifa.org/1x/18/teams/1943.png
Leighton Baines, 11 December 1984,170 cm,154 lbs,2011/2012,Everton,EVE,Left,33,4,England,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/163631.png,https://cdn.sofifa.org/1x/18/teams/7.png
Leighton Baines, 11 December 1984,170 cm,154 lbs,2012/2013,Everton,EVE,Left,38,5,England,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/163631.png,https://cdn.sofifa.org/1x/18/teams/7.png
Leighton Baines, 11 December 1984,170 cm,154 lbs,2013/2014,Everton,EVE,Left,32,5,England,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/163631.png,https://cdn.sofifa.org/1x/18/teams/7.png
Leighton Baines, 11 December 1984,170 cm,154 lbs,2014/2015,Everton,EVE,Left,31,2,England,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/163631.png,https://cdn.sofifa.org/1x/18/teams/7.png
Leighton Baines, 11 December 1984,170 cm,154 lbs,2015/2016,Everton,EVE,Left,16,2,England,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/163631.png,https://cdn.sofifa.org/1x/18/teams/7.png
Leon Barnett, 30 November 1985,185 cm,159 lbs,2011/2012,Norwich City,NOR,Right,13,1,England,€375K,€3K,https://cdn.sofifa.org/1x/18/players/163766.png,https://cdn.sofifa.org/1x/18/teams/1792.png
Leon Barnett, 30 November 1985,185 cm,159 lbs,2012/2013,Norwich City,NOR,Right,6,0,England,€375K,€3K,https://cdn.sofifa.org/1x/18/players/163766.png,https://cdn.sofifa.org/1x/18/teams/1792.png
Leon Britton, 16 September 1982,167 cm,143 lbs,2011/2012,Swansea City,SWA,Right,35,0,England,€2.7M,€62K,https://cdn.sofifa.org/1x/18/players/140415.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Leon Britton, 16 September 1982,167 cm,143 lbs,2012/2013,Swansea City,SWA,Right,30,0,England,€2.7M,€62K,https://cdn.sofifa.org/1x/18/players/140415.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Leon Britton, 16 September 1982,167 cm,143 lbs,2013/2014,Swansea City,SWA,Right,23,0,England,€2.7M,€62K,https://cdn.sofifa.org/1x/18/players/140415.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Leon Britton, 16 September 1982,167 cm,143 lbs,2014/2015,Swansea City,SWA,Right,7,0,England,€2.7M,€62K,https://cdn.sofifa.org/1x/18/players/140415.png,https://cdn.sofifa.org/1x/18/teams/1960.png
